Time,FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,HV 450-A,PE-A
18,82236.484,70292.28,76672,29904.15,66379.84,29524,9100.28,74.8
18.1,91468.84,70860.35,84596,28174.35,67605.24,27312,24456.88,15.3
18.3,72656.64,72412.45,65757,24470.16,66973.336,23945,15514.38,-4.25
18.4,88689.68,70681.68,82233,25269.96,66272.84,24989,15213.5205,44.2
18.6,90564.44,68821.445,86241,19748.55,65388.83,19793,75.46,96.05
18.6,82490.12,69658.7,77608,18161.041,66137.02,17996,70.56,4.25
18.8,93696.52,70737.33,86807,29209.44,67701.84,28275,45.08,-48.45
19,119207.4,72352.89,107976,61747.35,70147.6,57688,1152.48,20587.85
19.1,99705.68,70174.63,93115,27941.85,67614.26,27083,21.560001,38.25
19.5,69883.6,71240.23,64288,18830.64,66192.06,18644,11799.2,24.650002
19.6,90216.28,70526.1,83833,29753.49,68091.1,28637,17415.58,26.35
19.8,80675.88,69684.53,75873,28100.88,66761.625,27585,165.62001,34.850002
19.9,78150.36,71356.19,71776,37731.03,67546.46,36608,9.8,9.35
20.1,80221.64,71300.39,73736,35579.94,68824.29,33880,126.420006,-39.100002
20.5,99819.92,74966.46,87263,46741.8,70466.99,43471,635.04004,28180.9
20.5,71725.04,72479.29,64854,26224.14,68183.18,25206,14363.86,-7.65
20.7,86579.64,70368.375,80634,18673.47,65901.164,18570,15011.641,58.65
21.4,87488.12,71121.74,80617,39523.14,68261.66,37945,12764.5,49.300003
21.4,78528.44,71151.234,72331,22992.39,67140.28,22443,17251.92,17
21.4,108819.72,75376.63,94613,67730.04,70621.23,62853,1146.6,26304.951
21.5,91627.28,70913.516,84679,27329.91,67539.99,26519,128.38,6.8
22.2,80076.12,75730.09,69297,29628.871,80194.836,24213,74.48,161.5
22.2,82292.24,71095.67,75857,28179.93,67695.45,27281,203.84,69.700005
22.5,103410.32,85147.99,79592,49852.65,105161.04,31068,98,80.75
22.8,74931.92,71626.875,68560,22745.94,66064.43,22564,18.62,79.9
22.9,112989.484,73242.39,101101,58528.62,69698.76,55033,646.8,55317.152
22.9,104626.164,77596.12,88365,36839.16,103364.8,23357,218.54001,-16.15
23,122478.88,76614.04,104769,55461.48,73391.695,49525,955.5,59639.402
23.4,79465.484,71078.49,73269,22281.871,67501.72,21633,-13.72,-13.6
23.6,78893.6,70678.87,73153,32875.5,67318.51,32005,143.08,65.450005
23.7,99862.08,77624.97,84310,68409.87,75281.41,59554,1887.48,31660.8
23.9,77293.56,72326.22,70037,19920.6,67541.85,19329,14603.96,39.95
24.3,86544.96,72515.65,78215,138660.22,71346.86,127367,102.9,356.15002
24.4,78125.2,70063.266,73077,24085.14,66474.79,23745,16362.08,21.25
24.4,82408.52,69752.48,77427,20791.08,66159.95,20595,15189.0205,71.4
25,79706.2,72242.33,72307,32568.6,67666.86,31543,31.36,17.85
25,91609.6,72007.85,83376,43591.89,69529.75,41088,104.86,49.300003
25.1,65732.2,72692.43,59261,24772.41,69662.51,23305,14945,48.45
25.5,77609.08,76354.3,66613,33937.56,85579.75,25989,12375.44,51
25.8,107178.2,73931.72,95007,51642.902,69089.13,48987,1764.98,21280.602
25.8,129592.36,76096.38,111608,52347.84,70793.805,48460,19675.46,-28.050001
26.5,116509.164,75626.41,100964,61094.492,71841.83,55732,617.4,38830.55
26.7,115315.76,72559.23,104154,57367.05,70698.55,53178,1274,28182.602
26.8,84171.08,72143.49,76462,26280.871,68363.234,25194,15496.74,57.800003
27,127724.4,74797.8,111909,60339.332,73995.59,53441,1047.62,36596.75
27.1,68461.04,71265.51,62957,24869.13,66815.21,24393,16470.86,1.7
27.1,93707.4,70111.52,87592,26371.08,68116.625,25372,47.04,50.15
28.2,69905.36,72302.72,63363,33174.96,67724.336,32103,84.28,7.65
28.2,79538.92,70650.484,73781,25009.56,71383.06,22961,16668.82,67.15
28.3,108969.32,72850.016,98029,39599.4,68945.73,37641,1148.56,35776.5
28.5,87305.2,72059.07,79402,30943.89,68083.63,29786,14.700001,-7.65
28.7,82008.68,70499.38,76235,18421.44,66541.78,18143,14650.0205,53.550003
28.7,84407.04,70707.11,78234,22327.44,66228.44,22094,79.380005,56.95
29,77522.72,70323.61,72245,24512.94,67371.78,23845,55.86,-4.25
29.3,118152.04,77067.586,100473,56862.992,78538.5,47449,926.10004,28994.352
29.7,96222.04,74450.21,84701,52087.44,70260.414,48585,1055.46,32660.4
29.8,130747.68,72783.7,117728,60741.09,69205.99,57520,1528.8,38794.85
29.8,102275.4,71624.805,93581,70765.56,72273.09,64169,80.36,79.9
30.3,73213.56,71238.46,67353,17645.82,66703.38,17337,15921.08,-13.6
31,110012.44,76043.66,94811,50997.48,69537.3,48063,1506.26,22765.55
31.2,109124.36,73233.805,97654,38462.94,69891.51,36066,1220.1,418.2
31.2,76440.164,70759.81,70797,29017.86,67587.68,28137,112.700005,5.9500003
32,80002,69005.14,75980,18235.44,65205.03,18328,13724.9,8.5
32.5,101791.92,80190.35,83190,39570.57,85933.36,30178,75.46,30.6
32.9,75687.4,68736.74,72163,14993.46,64837.445,15155,9091.46,45.050003
33.4,98334.12,72211.3,89244,31776.24,75158.37,27708,19074.72,49.300003
33.4,73375.4,71715.36,67053,38553.15,68455.375,36909,72.520004,4.25
33.5,68155.04,69894.51,63905,27093.69,66679.64,26629,15610.42,-16.15
33.6,88435.36,70931.85,81708,40861.41,67994.45,39384,15069.46,48.45
33.8,75401.12,73499.04,67232,30467.73,68073.55,29332,11.76,30.6
33.8,83758.32,70748.77,77587,25609.41,66666.87,25175,20075.3,38.25
33.9,95942.56,70251.97,89502,33086.61,67470.414,32138,3070.34,51
34.6,112105.484,71802.21,102322,58362.152,68142.21,56130,256.76,45.050003
34.8,102981.92,71474.97,94425,64282.53,70390.82,59849,211.68001,35.7
34.9,69084.6,71124.93,63656,28439.4,67275.66,27704,15304.66,-26.35
35.2,79730,68767.81,75983,21977.76,65568.1,21967,18.62,11.05
35.3,85937.04,70144.48,80291,19465.83,66432.984,19203,15859.34,71.4
35.7,84790.56,70128.41,79238,25431.78,66769.375,24962,98.98,-13.6
36.2,138084.2,73808.29,122608,56808.12,71223.164,52272,1624.8401,37434.85
36.7,79668.805,70727.49,73821,21907.08,68155.83,21065,98,2402.95
36.8,112793.64,69680.4,106085,34649.94,67840.305,33473,127.4,26.35
37.1,89002.484,70134.39,83167,24022.83,66364.305,23723,16866.781,11.900001
37.2,69206.32,73743.266,61504,27320.61,79690.38,22468,4918.62,54.4
38,82515.28,71690.016,75432,30042.72,67845.625,29020,20.58,103.700005
38.1,79661.32,70347.3,74213,33198.21,73410.875,29637,9025.8,58.65
38.2,78739.92,70361.33,73340,24002.371,65684.8,23948,13293.7,15.3
38.4,81412.32,69863.92,76369,23889.84,66927.91,23393,16458.121,5.1000004
38.7,88149.08,69895.56,82651,22226.07,66795.42,21807,17553.76,92.65
38.8,86676.88,70786.266,80248,28891.38,67410.48,28088,167.58,32.3
38.9,82466.32,68743.96,78618,23821.02,65237.543,23930,93.1,-36.55
39.4,90482.84,71283.78,83187,21512.76,66732.63,21127,14343.28,62.050003
39.4,83820.2,70694.445,77704,22387.89,66090.67,22200,17069.64,64.6
39.5,92847.2,71965.59,84552,33134.04,68700.086,31608,80.36,-29.75
40,90325.76,70627.69,83814,31111.291,67913.84,30022,145.04001,97.75
40.1,74533.44,69960.234,69820,24895.17,73744.8,22124,14995.96,89.25
40.2,89454.68,71549.77,81936,27840.48,67227.484,27140,10.780001,22.95
40.6,89354.72,71059.6,82409,30398.91,67834.2,29369,164.64,49.300003
41.2,79670.164,70891,73652,21356.52,66967.51,20900,14005.181,0
41.4,80218.24,71712.66,73309,26930.94,68448.56,25785,86.240005,40.800003
41.5,113594,73870.984,100777,67930.92,71206.81,62521,793.8,22558.15
41.6,81145.76,69241.68,76803,18118.26,70919.086,16743,12841.92,41.65
41.7,83319.04,75762.03,72073,23795.91,85662.664,18205,10123.4,115.600006
42.3,75809.12,71309.81,69671,27159.72,68063.92,26151,98,31.45
42.9,65868.2,71201.586,60627,21887.55,69703.22,20579,12142.2,-4.25
43,77966.08,70562.68,72412,20525.1,67540.32,19916,13941.48,51
43.2,95411.484,72237.6,86560,39195.78,69832.945,36784,188.16,-11.05
43.6,100033.44,70565.98,92903,30344.041,69428.03,28643,43.120003,-62.050003
44,79302.96,71029.1,73170,19400.73,67508.03,18834,10334.101,99.450005
44,89853.164,71501.984,82356,38225.79,68944.445,36336,164.64,33.15
44.9,78590.32,70423.53,73136,26422.23,67503.79,25652,17328.36,37.4
